danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,label
0.664,0.675,9,-6.858,1,0.0359,0.624,5.29e-05,0.848,0.745,132.042,audio_features,1gJJghkaqrRTk9WwmyEwyd,spotify:track:1gJJghkaqrRTk9WwmyEwyd,https://api.spotify.com/v1/tracks/1gJJghkaqrRTk9WwmyEwyd,https://api.spotify.com/v1/audio-analysis/1gJJghkaqrRTk9WwmyEwyd,209320,4,0
0.796,0.588,7,-7.986,0,0.041,0.0128,0.0,0.099,0.668,125.289,audio_features,7aP6GXrxvq0836pzL4kHK8,spotify:track:7aP6GXrxvq0836pzL4kHK8,https://api.spotify.com/v1/tracks/7aP6GXrxvq0836pzL4kHK8,https://api.spotify.com/v1/audio-analysis/7aP6GXrxvq0836pzL4kHK8,319240,4,2
0.604,0.82,10,-4.927,0,0.0401,0.144,0.000133,0.109,0.427,105.019,audio_features,1UvWx2hgpxlF7HPbwLSmIY,spotify:track:1UvWx2hgpxlF7HPbwLSmIY,https://api.spotify.com/v1/tracks/1UvWx2hgpxlF7HPbwLSmIY,https://api.spotify.com/v1/audio-analysis/1UvWx2hgpxlF7HPbwLSmIY,419520,4,4
0.663,0.168,0,-13.725,1,0.0448,0.928,5.68e-05,0.361,0.678,85.005,audio_features,25U7raB3ZSszayTYClh4hF,spotify:track:25U7raB3ZSszayTYClh4hF,https://api.spotify.com/v1/tracks/25U7raB3ZSszayTYClh4hF,https://api.spotify.com/v1/audio-analysis/25U7raB3ZSszayTYClh4hF,308027,4,6
0.776,0.559,6,-8.375,0,0.103,0.11,0.0,0.0671,0.758,122.242,audio_features,6JRLFiX9NJSoRRKxowlBYr,spotify:track:6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/tracks/6JRLFiX9NJSoRRKxowlBYr,https://api.spotify.com/v1/audio-analysis/6JRLFiX9NJSoRRKxowlBYr,232200,4,8
0.751,0.675,9,-6.177,0,0.105,0.258,0.0,0.0704,0.852,71.997,audio_features,6B8pYtoS3XHrc821hExWf6,spotify:track:6B8pYtoS3XHrc821hExWf6,https://api.spotify.com/v1/tracks/6B8pYtoS3XHrc821hExWf6,https://api.spotify.com/v1/audio-analysis/6B8pYtoS3XHrc821hExWf6,240294,4,10
0.576,0.807,6,-3.908,0,0.317,0.353,0.000363,0.0512,0.908,90.012,audio_features,41bIQPBE1lFN0mmw6Lmssz,spotify:track:41bIQPBE1lFN0mmw6Lmssz,https://api.spotify.com/v1/tracks/41bIQPBE1lFN0mmw6Lmssz,https://api.spotify.com/v1/audio-analysis/41bIQPBE1lFN0mmw6Lmssz,224427,4,12
0.681,0.705,8,-6.137,0,0.0611,0.0921,0.0,0.0862,0.901,154.09,audio_features,7GISFrn8cBIZIQRHCEiYs5,spotify:track:7GISFrn8cBIZIQRHCEiYs5,https://api.spotify.com/v1/tracks/7GISFrn8cBIZIQRHCEiYs5,https://api.spotify.com/v1/audio-analysis/7GISFrn8cBIZIQRHCEiYs5,309803,4,14
0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,audio_features,6gBFPUFcJLzWGx4lenP6h2,spotify:track:6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,243837,4,16
0.819,0.721,1,-4.295,1,0.344,0.483,0.0,0.188,0.728,86.042,audio_features,2tR8iLdCeYhVcyPZvN6T7X,spotify:track:2tR8iLdCeYhVcyPZvN6T7X,https://api.spotify.com/v1/tracks/2tR8iLdCeYhVcyPZvN6T7X,https://api.spotify.com/v1/audio-analysis/2tR8iLdCeYhVcyPZvN6T7X,377613,4,18
